0	0	0
0.1	0.0074938	0.14975
0.2	0.029899	0.29801
0.3	0.066992	0.44329
0.4	0.11841	0.58413
0.5	0.18363	0.71914
0.6	0.262	0.847
0.7	0.35274	0.96644
0.8	0.45493	1.0762
0.9	0.56757	1.1752
1	0.68954	1.2623
1.1	0.81963	1.3369
1.2	0.95653	1.3981
1.3	1.0988	1.4453
1.4	1.2452	1.4783
1.5	1.3941	1.4965
1.6	1.5441	1.4996
1.7	1.6935	1.4878
1.8	1.841	1.4609
1.9	1.9851	1.4195
2	2.1244	1.3638
2.1	2.2574	1.2946
2.2	2.383	1.2126
2.3	2.4999	1.1184
2.4	2.6067	1.0131
2.5	2.7024	0.89763
2.6	2.7859	0.77315
2.7	2.8566	0.64089
2.8	2.9136	0.50216
2.9	2.9565	0.35841
3	2.985	0.21115
3.1	2.9987	0.061743
3.2	2.9976	-0.088342
3.3	2.9815	-0.23752
3.4	2.9506	-0.38425
3.5	2.905	-0.52709
3.6	2.8453	-0.66462
3.7	2.772	-0.79549
3.8	2.686	-0.91844
3.9	2.5882	-1.0322
4	2.4797	-1.1357
4.1	2.3614	-1.228
4.2	2.2345	-1.308
4.3	2.1003	-1.3748
4.4	1.96	-1.4279
4.5	1.8152	-1.4666
4.6	1.6672	-1.4906
4.7	1.5175	-1.4997
4.8	1.3677	-1.494
4.9	1.2191	-1.4734
5	1.0733	-1.4381
5.1	0.9318	-1.3884
5.2	0.79605	-1.3248
5.3	0.66739	-1.2479
5.4	0.54707	-1.1584
5.5	0.43625	-1.0574
5.6	0.33603	-0.94581
5.7	0.24739	-0.82487
5.8	0.17125	-0.69569
5.9	0.10842	-0.55956
6	0.059524	-0.41786
6.1	0.025045	-0.27197
6.2	0.0052965	-0.12336
6.3	0.00044393	0.026495
6.4	0.010554	0.17611
6.5	0.035552	0.32394
6.6	0.075203	0.46851
6.7	0.12911	0.60839
6.8	0.19673	0.74218
6.9	0.27735	0.86858
7	0.37018	0.98638
7.1	0.47428	1.0943
7.2	0.58863	1.1913
7.3	0.7121	1.2763
7.4	0.84345	1.3485
7.5	0.98139	1.4073
7.6	1.1245	1.452
7.7	1.2714	1.4822
7.8	1.4206	1.4978
7.9	1.5706	1.4983
8	1.7198	1.4839
8.1	1.8668	1.4545
8.2	2.0101	1.4106
8.3	2.1483	1.3525
8.4	2.2801	1.2809
8.5	2.4041	1.1966
8.6	2.5192	1.1004
8.7	2.6242	0.99316
8.8	2.7179	0.87605
8.9	2.7994	0.75017
9	2.8677	0.61675
9.1	2.9222	0.4771
9.2	2.9626	0.33263
9.3	2.9883	0.18483
9.4	2.9993	0.035271
9.5	2.9954	-0.11471
9.6	2.9767	-0.2636
9.7	2.9432	-0.40983
9.8	2.8952	-0.55189
9.9	2.8332	-0.68836
10	2.7577	-0.8179
10.1	2.6696	-0.93925
10.2	2.5698	-1.0512
10.3	2.4593	-1.1527
10.4	2.3394	-1.2428
10.5	2.2111	-1.3205
10.6	2.0757	-1.385
10.7	1.9346	-1.4356
10.8	1.7891	-1.4718
10.9	1.6408	-1.4932
11	1.491	-1.4997
11.1	1.3413	-1.4912
11.2	1.1932	-1.4679
11.3	1.048	-1.43
11.4	0.90739	-1.3778
11.5	0.77273	-1.3119
11.6	0.64542	-1.2328
11.7	0.5267	-1.1413
11.8	0.41773	-1.0383
11.9	0.31958	-0.92495
12	0.23317	-0.80241
12.1	0.15938	-0.67192
12.2	0.098962	-0.53471
12.3	0.052566	-0.39217
12.4	0.020659	-0.24572
12.5	0.0035494	-0.096814
12.6	0.0013814	0.053065
12.7	0.014158	0.20243
12.8	0.041772	0.34979
